Categoria,Permesso,Descrizione,super_admin,admin,manager,coordinator,therapist,patient,patient_family
Specializzazioni,create_specialization,Creare specializzazioni,SI,SI,SI,NO,NO,NO,NO
Specializzazioni,view_specialization,Visualizzare specializzazioni,SI,SI,SI,NO,NO,NO,NO
Specializzazioni,update_specialization,Modificare specializzazioni,SI,SI,SI,NO,NO,NO,NO
Specializzazioni,delete_specialization,Eliminare specializzazioni,SI,SI,SI,NO,NO,NO,NO
Specializzazioni,manage_treatment_types,Gestire tipi di trattamento,SI,SI,SI,NO,NO,NO,NO
Visite Specialistiche,create_specialist_visit,Creare visite specialistiche,SI,SI,SI,NO,NO,NO,NO
Visite Specialistiche,view_specialist_visit,Visualizzare visite specialistiche,SI,SI,SI,NO,NO,NO,NO
Visite Specialistiche,update_specialist_visit,Modificare visite specialistiche,SI,SI,SI,NO,NO,NO,NO
Visite Specialistiche,delete_specialist_visit,Eliminare visite specialistiche,SI,SI,SI,NO,NO,NO,NO
Report,view_reports,Visualizzare rapporti,SI,SI,SI,SI,NO,NO,NO
Report,generate_reports,Generare rapporti,SI,SI,SI,NO,NO,NO,NO
Report,export_data,Esportare dati,SI,SI,SI,NO,NO,NO,NO
Comunicazioni,manage_communications,Gestire comunicazioni,SI,SI,SI,NO,NO,NO,NO
Comunicazioni,send_messages,Inviare messaggi,SI,SI,SI,NO,NO,NO,NO
Comunicazioni,view_messages,Visualizzare messaggi,SI,SI,SI,SI,SI,SI,SI
Dati Personali,view_own_data,Visualizzare propri dati,SI,SI,NO,SI,SI,SI,SI
Dati Personali,update_own_data,Modificare propri dati,SI,SI,NO,SI,SI,SI,SI
Dati Personali,view_assigned_patients,Visualizzare pazienti assegnati,SI,SI,NO,NO,SI,NO,NO
Configurazione,manage_districts,Gestire distretti,SI,SI,SI,NO,NO,NO,NO
Configurazione,manage_settings,Gestire impostazioni,SI,SI,SI,NO,NO,NO,NO
